,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4188,Andre Gray,Centre-Forward,26,Burnley,Premier League,Watford,Premier League,18,10.0,20.4,1
4189,Blaise Matuidi,Central Midfield,30,Paris SG,French Ligue 1,Juventus,Italy Serie A,18,30.0,20.0,2
4190,Juan Cuadrado,Right Winger,29,Chelsea,Premier League,Juventus,Italy Serie A,18,25.0,20.0,1
4191,Niklas Süle,Centre-Back,21,TSG Hoffenheim,German Bundesliga,Bayern Munich ,German Bundesliga,18,25.0,20.0,3
4192,Roberto Gagliardini,Central Midfield,23,Atalanta,Italy Serie A,Inter,Italy Serie A,18,20.0,20.0,2
4193,Kevin Kampl,Central Midfield,26,Bay. Leverkusen,German Bundesliga,RB Leipzig,German Bundesliga,18,15.0,20.0,2
4194,Maximilian Philipp,Left Winger,23,SC Freiburg,German Bundesliga,Bor. Dortmund,German Bundesliga,18,15.0,20.0,1
4195,Óliver Torres,Attacking Midfield,22,Atlético Madrid,LaLiga,FC Porto,LaLiga,18,14.0,20.0,2
4196,Emerson,Left-Back,23,AS Roma,Italy Serie A,Chelsea,Premier League,18,14.0,20.0,3
4197,Nikola Maksimovic,Centre-Back,25,Torino,Italy Serie A,SSC Napoli,Italy Serie A,18,10.0,20.0,3
4198,Dalbert,Left-Back,23,OGC Nice,French Ligue 1,Inter,Italy Serie A,18,5.0,20.0,3
4199,Kevin Wimmer,Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,18,7.0,19.4,3
4200,Nabil Bentaleb,Defensive Midfield,22,Spurs,Premier League,FC Schalke 04,German Bundesliga,18,18.0,19.0,2
4201,Mateo Musacchio,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Italy Serie A,18,18.0,18.0,3
4202,Rúben Neves,Defensive Midfield,20,FC Porto,LaLiga,Wolves,English League Championship,18,10.0,17.9,2
4203,Chicharito,Centre-Forward,29,Bay. Leverkusen,German Bundesliga,West Ham,Premier League,18,18.0,17.8,1
4204,Panagiotis Retsos,Centre-Back,19,Olympiacos,Super League Greece,Bay. Leverkusen,German Bundesliga,18,5.0,17.5,3
4205,Britt Assombalonga,Centre-Forward,24,Nottm Forest,English League Championship,Middlesbrough,English League Championship,18,5.0,17.1,1
4206,Lucas Biglia,Defensive Midfield,31,Lazio,Italy Serie A,AC Milan,Italy Serie A,18,20.0,17.0,2
4207,Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,18,20.0,17.0,1
