,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
828,830,Jens Lehmann,Goalkeeper,33,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2003-2004,1.75,3.5,G
829,831,Ognjen Koroman,Right Winger,24,Dinamo Moscow,Premier Liga,KS Samara,Premier Liga,2003-2004,1.75,3.5,F
830,832,Ahmet Dursun,Centre-Forward,25,Besiktas,Süper Lig,TJ Teda, China,2003-2004,1.75,3.5,F
831,833,Collins John,Centre-Forward,18,FC Twente,Eredivisie,Fulham,Premier League,2003-2004,1.75,3.5,F
832,834,Gabriel Tamas,Centre-Back,20,Galatasaray,Süper Lig,Spartak Moscow,Premier Liga,2003-2004,1.75,3.5,D
833,835,Gavin McCann,Central Midfield,25,Sunderland,First Division,Aston Villa,Premier League,2003-2004,1.69,3.38,M
834,836,Danijel Ljuboja,Centre-Forward,25,R. Strasbourg,Ligue 1,Paris SG,Ligue 1,2003-2004,1.65,3.3,F
835,837,Liedson,Centre-Forward,25,Corinthians, Brazil,Sporting CP,Liga NOS,2003-2004,1.6,3.2,F
836,838,Jordi Hoogstrate,Central Midfield,20,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2003-2004,1.6,3.2,M
837,839,Tim Howard,Goalkeeper,24,NY Red Bulls,MLS,Man Utd,Premier League,2003-2004,1.6,3.2,G
838,840,Emmanuel Adebayor,Centre-Forward,19,FC Metz,Ligue 1,Monaco,Ligue 1,2003-2004,1.6,3.2,F
839,841,Cesc Fàbregas,Central Midfield,16,Barça Juvenil A, Spain,Arsenal,Premier League,2003-2004,1.6,3.2,M
840,842,Ernesto Farías,Centre-Forward,23,Estudiantes, Argentina,US Palermo,Serie B,2003-2004,1.575,3.15,F
841,843,Kiki Musampa,Left Winger,25,Málaga CF,LaLiga,Atlético Madrid,LaLiga,2003-2004,1.5,3.0,F
842,844,David Bellion,Centre-Forward,20,Sunderland,First Division,Man Utd,Premier League,2003-2004,1.5,3.0,F
843,845,Jérémie Bréchet,Centre-Back,24,Olympique Lyon,Ligue 1,Inter,Serie A,2003-2004,1.5,3.0,D
844,846,Thomas Sörensen,Goalkeeper,27,Sunderland,First Division,Aston Villa,Premier League,2003-2004,1.5,3.0,G
845,847,Modeste M'Bami,Defensive Midfield,20,CS Sedan,Ligue 2,Paris SG,Ligue 1,2003-2004,1.5,3.0,M
846,848,Brett Emerton,Right Midfield,24,Feyenoord,Eredivisie,Blackburn,Premier League,2003-2004,1.5,3.0,M
847,849,Carl Cort,Centre-Forward,26,Newcastle,Premier League,Wolves,Premier League,2003-2004,1.5,3.0,F
848,850,Marco Streller,Centre-Forward,22,FC Basel,Super League,VfB Stuttgart,1.Bundesliga,2003-2004,1.5,3.0,F
849,851,Roberto Nanni,Centre-Forward,21,Vélez Sarsfield, Argentina,Dynamo Kyiv,Premier Liga,2003-2004,1.5,3.0,F
850,852,Vedin Music,Left-Back,30,Como,Serie B,Modena,Serie A,2003-2004,1.5,3.0,D
851,853,Simon Jentzsch,Goalkeeper,27,1860 Munich,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2003-2004,1.425,2.85,G
852,854,Sebastián Battaglia,Defensive Midfield,23,Boca Juniors, Argentina,Villarreal CF,LaLiga,2003-2004,1.4,2.8,M
853,855,David James,Goalkeeper,33,West Ham,First Division,Man City,Premier League,2003-2004,1.4,2.8,G
854,856,Mauricio Pinilla,Centre-Forward,19,U. de Chile, Chile,Inter,Serie A,2003-2004,1.4,2.8,F
855,857,Wálter Gaitán,Attacking Midfield,26,Boca Juniors, Argentina,Tigres UANL, Mexico,2003-2004,1.35,2.7,M
856,858,Andrea Gasbarroni,Second Striker,21,Juventus,Serie A,US Palermo,Serie B,2003-2004,1.35,2.7,F
857,859,Kily González,Left Midfield,28,Valencia CF,LaLiga,Inter,Serie A,2003-2004,1.25,2.5,M
858,860,Gustavo Munúa,Goalkeeper,25,Nacional, Uruguay,Dep. La Coruña,LaLiga,2003-2004,1.25,2.5,G
859,861,Zied Jaziri,Centre-Forward,24,ES Sahel, Tunisia,Gaziantepspor,Süper Lig,2003-2004,1.25,2.5,F
860,862,Osmar Ferreyra,Attacking Midfield,20,River Plate, Argentina,CSKA Moscow,Premier Liga,2003-2004,1.25,2.5,M
861,863,Hakan Yakin,Attacking Midfield,26,FC Basel,Super League,VfB Stuttgart,1.Bundesliga,2003-2004,1.25,2.5,M
862,864,Stepan Vachousek,Left Midfield,23,Slavia Prag,HET Liga,Marseille,Ligue 1,2003-2004,1.25,2.5,M
863,865,Dejan Stefanovic,Centre-Back,28,Vitesse,Eredivisie,Portsmouth,Premier League,2003-2004,1.25,2.5,D
864,866,Ianis Zicu,Attacking Midfield,19,Dinamo Bukarest, Romania,Inter,Serie A,2003-2004,1.25,2.5,M
865,867,Karel D'Haene,Centre-Back,22,Royal Antwerp,Jupiler Pro League,Trabzonspor,Süper Lig,2003-2004,1.25,2.5,D
866,868,Zisis Vryzas,Centre-Forward,30,Perugia,Serie A,Fiorentina,Serie B,2003-2004,1.25,2.5,F
867,869,Thomas Christiansen,Centre-Forward,30,VfL Bochum,1.Bundesliga,Hannover 96,1.Bundesliga,2003-2004,1.25,2.5,F
868,870,Sixto Peralta,Central Midfield,24,Racing Club, Argentina,Santos Laguna, Mexico,2003-2004,1.25,2.5,M
869,871,Carlos Alberto,Attacking Midfield,19,Fluminense, Brazil,FC Porto,Liga NOS,2003-2004,1.25,2.5,M
870,872,Jan Lastuvka,Goalkeeper,20,Banik Ostrava,HET Liga,Shakhtar D.,Premier Liga,2003-2004,1.25,2.5,G
871,873,Marcelo Delgado,Centre-Forward,30,Boca Juniors, Argentina,CD Cruz Azul, Mexico,2003-2004,1.225,2.45,F
872,874,Mbulelo Mabizela,Centre-Back,22,Orlando Pirates, South Africa,Spurs,Premier League,2003-2004,1.15,2.3,D
873,875,Eyal Berkovic,Attacking Midfield,31,Celtic,Premiership,Man City,Premier League,2003-2004,1.15,2.3,M
874,876,Henri Camara,Centre-Forward,26,CS Sedan,Ligue 2,Wolves,Premier League,2003-2004,1.125,2.25,F
875,877,Silas,Attacking Midfield,26,Leiria,Liga NOS,Wolves,Premier League,2003-2004,1.125,2.25,M
876,878,Tobias Rau,Left-Back,21,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2003-2004,1.125,2.25,D
877,879,Maik Taylor,Goalkeeper,32,Fulham,Premier League,Birmingham,Premier League,2003-2004,1.125,2.25,G
878,880,Amdy Fayé,Defensive Midfield,26,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2003-2004,1.115,2.23,M
879,881,Neil McCann,Left Winger,29,Rangers,Premiership,Southampton,Premier League,2003-2004,1.115,2.23,F
880,882,Léo Lima,Attacking Midfield,21,Vasco da Gama, Brazil,CSKA Sofia, Bulgaria,2003-2004,1.1,2.2,M
881,883,Adolfo Bautista,Second Striker,24,CF Pachuca, Mexico,Chivas, Mexico,2003-2004,1.075,2.15,F
